區域別,受理火災件數,出動人次-合計,出動消防人員,出動義消人員,出動其他人次,救出人數,出動車輛-船艇-直升機-合計,出動直線雲梯消防車,出動屈折雲梯消防車,出動化學消防車,出動水箱消防車,出動水庫消防車,出動泡沫消防車,出動幫浦消防車,出動超高壓消防車,出動救助器材車,出動排煙車,出動照明車,出動空氣壓縮車,出動救災指揮車,出動水陸兩用車,出動災情勘查車,出動化災處理車,出動火災現場勘驗車,出動消防警備車,出動消防救災越野車,出動消防救災機車,出動緊急修護車,出動一般型救護車,出動加護型救護車,出動救生艇,出動直升機,出動車輛-船艇-直升機-其他
"總計","291","1519","1115","378","26","0","598","0","5","0","358","117","0","0","0","22","0","0","0","6","0","0","0","0","14","0","0","0","76","0","0","0","0"
"斗六市","24","181","149","29","3","0","83","0","2","0","34","18","0","0","0","6","0","0","0","3","0","0","0","0","6","0","0","0","14","0","0","0","0"
"林內鄉","14","73","64","8","1","0","36","0","0","0","21","3","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0","0"
"莿桐鄉","5","10","10","0","0","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"斗南鎮","10","59","59","0","0","0","34","0","1","0","17","6","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","0"
"古坑鄉","14","61","56","5","0","0","31","0","0","0","22","2","0","0","0","1","0","0","0","1","0","0","0","0","3","0","0","0","2","0","0","0","0"
"大埤鄉","10","38","38","0","0","0","20","0","0","0","13","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"虎尾鎮","25","123","123","0","0","0","60","0","1","0","24","23","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"土庫鎮","11","76","41","35","0","0","22","0","0","0","13","4","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3","0","0","0","0"
"褒忠鄉","9","42","25","15","2","0","13","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"元長鄉","9","27","27","0","0","0","14","0","0","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"西螺鎮","18","58","58","0","0","0","32","0","0","0","24","2","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0"
"二崙鄉","9","40","40","0","0","0","20","0","0","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"崙背鄉","9","54","33","17","4","0","18","0","0","0","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"北港鎮","22","129","81","43","5","0","39","0","1","0","25","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"水林鄉","17","50","50","0","0","0","28","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"口湖鄉","16","40","40","0","0","0","24","0","0","0","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"臺西鄉","15","117","46","70","1","0","25","0","0","0","16","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"東勢鄉","11","83","32","45","6","0","17","0","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"四湖鄉","23","76","73","2","1","0","42","0","0","0","24","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"麥寮鄉","20","182","70","109","3","0","35","0","0","0","18","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
