區域別,受理火災件數,出動人次-合計,出動消防人員,出動義消人員,出動其他人次,救出人數,出動車輛-船艇-直升機-合計,出動直線雲梯消防車,出動屈折雲梯消防車,出動化學消防車,出動水箱消防車,出動水庫消防車,出動泡沫消防車,出動幫浦消防車,出動超高壓消防車,出動救助器材車,出動排煙車,出動照明車,出動空氣壓縮車,出動救災指揮車,出動水陸兩用車,出動災情勘查車,出動化災處理車,出動火災現場勘驗車,出動消防警備車,出動消防救災越野車,出動消防救災機車,出動緊急修護車,出動一般型救護車,出動加護型救護車,出動救生艇,出動直升機,出動車輛-船艇-直升機-其他
"總計","313","1451","1067","352","32","0","559","0","5","0","383","93","0","0","0","12","0","0","0","3","0","0","0","0","15","0","0","0","48","0","0","0","0"
"斗六市","20","140","115","23","2","0","62","0","1","0","30","11","0","0","0","6","0","0","0","1","0","0","0","0","7","0","0","0","6","0","0","0","0"
"林內鄉","3","11","8","3","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"莿桐鄉","14","37","37","0","0","0","19","0","1","0","16","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"斗南鎮","16","59","48","11","0","0","25","0","0","0","20","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"古坑鄉","20","90","77","13","0","0","41","0","0","0","33","2","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0"
"大埤鄉","3","11","8","3","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"虎尾鎮","25","101","96","0","5","0","47","0","1","0","24","15","0","0","0","1","0","0","0","1","0","0","0","0","3","0","0","0","2","0","0","0","0"
"土庫鎮","14","86","48","38","0","0","23","0","0","0","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"褒忠鄉","6","39","17","19","3","0","10","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"元長鄉","16","49","49","0","0","0","26","0","0","0","16","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"西螺鎮","30","62","62","0","0","0","31","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"二崙鄉","14","69","49","20","0","0","25","0","0","0","17","3","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3","0","0","0","0"
"崙背鄉","16","54","48","6","0","0","26","0","0","0","18","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"北港鎮","15","79","65","7","7","0","32","0","2","0","17","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"水林鄉","15","68","67","1","0","0","37","0","0","0","27","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0"
"口湖鄉","17","96","79","17","0","0","43","0","0","0","29","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","0","0","0","0"
"臺西鄉","15","144","47","96","1","0","26","0","0","0","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"東勢鄉","7","39","17","20","2","0","9","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"四湖鄉","31","129","88","29","12","0","47","0","0","0","32","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"麥寮鄉","16","88","42","46","0","0","22","0","0","0","16","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
