區域別,受理火災件數,出動人次-合計,出動消防人員,出動義消人員,出動其他人次,救出人數,出動車輛-船艇-直升機-合計,出動直線雲梯消防車,出動屈折雲梯消防車,出動化學消防車,出動水箱消防車,出動水庫消防車,出動泡沫消防車,出動幫浦消防車,出動超高壓消防車,出動救助器材車,出動排煙車,出動照明車,出動空氣壓縮車,出動救災指揮車,出動水陸兩用車,出動災情勘查車,出動化災處理車,出動火災現場勘驗車,出動消防警備車,出動消防救災越野車,出動消防救災機車,出動緊急修護車,出動一般型救護車,出動加護型救護車,出動救生艇,出動直升機,出動車輛-船艇-直升機-其他
"總計","442","2331","1638","622","71","－","875","－","9","－","549","169","－","－","－","26","－","－","－","8","－","－","－","－","16","－","－","－","98","－","－","－","－"
"斗六市","28","93","92","－","1","－","46","－","1","－","29","7","－","－","－","3","－","－","－","1","－","－","－","－","2","－","－","－","3","－","－","－","－"
"林內鄉","11","103","70","23","10","－","39","－","2","－","21","4","－","－","－","3","－","－","－","－","－","－","－","－","1","－","－","－","8","－","－","－","－"
"莿桐鄉","21","64","60","－","4","－","32","－","－","－","26","2","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","4","－","－","－","－"
"斗南鎮","22","114","105","9","－","－","58","－","－","－","33","11","－","－","－","3","－","－","－","1","－","－","－","－","4","－","－","－","6","－","－","－","－"
"古坑鄉","6","40","25","13","2","－","14","－","1","－","9","1","－","－","－","1","－","－","－","－","－","－","－","－","－","－","－","－","2","－","－","－","－"
"大埤鄉","10","28","20","8","－","－","10","－","－","－","10","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"虎尾鎮","39","121","121","－","－","－","61","－","1","－","38","17","－","－","－","1","－","－","－","－","－","－","－","－","－","－","－","－","4","－","－","－","－"
"土庫鎮","19","62","51","11","－","－","27","－","－","－","18","6","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","3","－","－","－","－"
"褒忠鄉","8","64","52","11","1","－","30","－","－","－","16","6","－","－","－","－","－","－","－","1","－","－","－","－","1","－","－","－","6","－","－","－","－"
"元長鄉","41","115","114","1","－","－","58","－","－","－","39","13","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","6","－","－","－","－"
"西螺鎮","39","175","175","－","－","－","103","－","2","－","63","14","－","－","－","10","－","－","－","2","－","－","－","－","3","－","－","－","9","－","－","－","－"
"二崙鄉","15","42","42","－","－","－","22","－","－","－","17","3","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","2","－","－","－","－"
"崙背鄉","18","66","44","21","1","－","22","－","－","－","19","2","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","1","－","－","－","－"
"北港鎮","22","164","120","43","1","－","55","－","2","－","27","15","－","－","－","5","－","－","－","－","－","－","－","－","1","－","－","－","5","－","－","－","－"
"水林鄉","22","112","95","16","1","－","52","－","－","－","35","7","－","－","－","－","－","－","－","1","－","－","－","－","2","－","－","－","7","－","－","－","－"
"口湖鄉","29","168","111","47","10","－","62","－","－","－","44","7","－","－","－","－","－","－","－","1","－","－","－","－","1","－","－","－","9","－","－","－","－"
"臺西鄉","20","195","53","132","10","－","29","－","－","－","19","8","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","2","－","－","－","－"
"東勢鄉","11","82","41","37","4","－","22","－","－","－","18","3","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","1","－","－","－","－"
"四湖鄉","28","162","104","44","14","－","57","－","－","－","36","14","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","7","－","－","－","－"
"麥寮鄉","33","361","143","206","12","－","76","－","－","－","32","29","－","－","－","－","－","－","－","1","－","－","－","－","1","－","－","－","13","－","－","－","－"
