區域別,受理火災件數,出動人次-合計,出動消防人員,出動義消人員,出動其他人次,救出人數,出動車輛_x3001_船艇_x3001_直升機-合計,出動直線雲梯消防車,出動屈折雲梯消防車,出動化學消防車,出動水箱消防車,出動水庫消防車,出動泡沫消防車,出動幫浦消防車,出動超高壓消防車,出動救助器材車,出動排煙車,出動照明車,出動空氣壓縮車,出動救災指揮車,出動水陸兩用車,出動災情勘查車,出動化災處理車,出動火災現場勘驗車,出動消防警備車,出動消防救災越野車,出動消防救災機車,出動緊急修護車,出動一般型救護車,出動加護型救護車,出動救生艇,出動直升機,出動車輛_x3001_船艇_x3001_直升機-其他
"總計","160","919","728","166","25","7","395","0","11","0","227","68","0","0","0","19","0","0","0","3","0","0","0","0","13","0","0","0","54","0","0","0","0"
"斗六市","14","126","100","23","3","0","56","0","3","0","27","8","0","0","0","5","0","0","0","1","0","0","0","0","2","0","0","0","10","0","0","0","0"
"林內鄉","4","23","21","2","0","0","12","0","1","0","6","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0"
"莿桐鄉","7","36","36","0","0","0","19","0","0","0","12","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"斗南鎮","19","115","105","10","0","0","61","0","4","0","32","11","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0","0"
"古坑鄉","5","14","13","1","0","0","7","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"大埤鄉","10","20","20","0","0","0","10","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"虎尾鎮","11","104","103","0","1","7","51","0","1","0","16","13","0","0","0","4","0","0","0","2","0","0","0","0","7","0","0","0","8","0","0","0","0"
"土庫鎮","4","10","8","2","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"褒忠鄉","1","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"元長鄉","5","13","13","0","0","0","8","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"西螺鎮","6","19","19","0","0","0","12","0","1","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"二崙鄉","5","17","17","0","0","0","9","0","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"崙背鄉","6","25","24","1","0","0","14","0","0","0","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"北港鎮","10","49","44","5","0","0","22","0","1","0","12","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"水林鄉","11","36","33","3","0","0","17","0","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"口湖鄉","15","91","55","26","10","0","31","0","0","0","22","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"臺西鄉","5","35","10","23","2","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"東勢鄉","5","25","13","11","1","0","7","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"四湖鄉","10","49","34","11","4","0","18","0","0","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"麥寮鄉","7","110","58","48","4","0","31","0","0","0","13","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
