區域別,受理火災件數,出動人次-合計,出動消防人員,出動義消人員,出動其他人次,救出人數,出動車輛-船艇-直升機-合計,出動直線雲梯消防車,出動屈折雲梯消防車,出動化學消防車,出動水箱消防車,出動水庫消防車,出動泡沫消防車,出動幫浦消防車,出動超高壓消防車,出動救助器材車,出動排煙車,出動照明車,出動空氣壓縮車,出動救災指揮車,出動水陸兩用車,出動災情勘查車,出動化災處理車,出動火災現場勘驗車,出動消防警備車,出動消防救災越野車,出動消防救災機車,出動緊急修護車,出動一般型救護車,出動加護型救護車,出動救生艇,出動直升機,出動車輛-船艇-直升機-其他
"總計","514","2811","1861","866","84","3","991","0","11","0","634","191","0","1","0","21","0","0","0","7","0","0","0","0","23","0","0","0","103","0","0","0","0"
"斗六市","49","323","281","41","1","2","146","0","5","0","70","27","0","0","0","12","0","0","0","4","0","0","0","0","6","0","0","0","22","0","0","0","0"
"林內鄉","19","125","72","44","9","0","41","0","0","0","27","4","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","6","0","0","0","0"
"莿桐鄉","25","96","86","7","3","0","45","0","1","0","31","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"斗南鎮","24","83","71","12","0","0","38","0","0","0","31","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"古坑鄉","23","103","75","21","7","0","40","0","0","0","34","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0"
"大埤鄉","12","43","43","0","0","0","22","0","0","0","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"虎尾鎮","39","161","142","10","9","0","68","0","1","0","37","18","0","0","0","2","0","0","0","1","0","0","0","0","3","0","0","0","6","0","0","0","0"
"土庫鎮","16","122","61","61","0","0","31","0","1","0","20","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"褒忠鄉","18","88","51","32","5","0","32","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"元長鄉","37","120","115","4","1","0","61","0","0","0","37","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"西螺鎮","37","131","131","0","0","0","73","0","1","0","52","10","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"二崙鄉","18","63","63","0","0","0","33","0","0","0","25","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"崙背鄉","23","153","91","52","10","0","50","0","0","0","26","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"北港鎮","25","126","74","50","2","0","35","0","2","0","25","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"水林鄉","20","76","64","12","0","0","36","0","0","0","31","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"口湖鄉","19","104","61","29","14","1","33","0","0","0","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"臺西鄉","26","196","72","124","0","0","43","0","0","0","28","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"東勢鄉","18","126","61","64","1","0","34","0","0","0","26","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"四湖鄉","29","97","73","18","6","0","40","0","0","0","29","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"麥寮鄉","37","475","174","285","16","0","90","0","0","0","35","38","0","0","0","0","0","0","0","2","0","0","0","0","10","0","0","0","5","0","0","0","0"
