區域別,受理火災件數,出動人次-合計,出動消防人員,出動義消人員,出動其他人次,救出人數,出動車輛_x3001_船艇_x3001_直升機-合計,出動直線雲梯消防車,出動屈折雲梯消防車,出動化學消防車,出動水箱消防車,出動水庫消防車,出動泡沫消防車,出動幫浦消防車,出動超高壓消防車,出動救助器材車,出動排煙車,出動照明車,出動空氣壓縮車,出動救災指揮車,出動水陸兩用車,出動災情勘查車,出動化災處理車,出動火災現場勘驗車,出動消防警備車,出動消防救災越野車,出動消防救災機車,出動緊急修護車,出動一般型救護車,出動加護型救護車,出動救生艇,出動直升機,出動車輛_x3001_船艇_x3001_直升機-其他
"總計","195","1051","757","263","31","0","410","0","8","0","254","64","0","0","0","14","0","0","0","2","0","0","0","0","8","0","0","0","60","0","0","0","0"
"斗六市","21","159","135","22","2","0","72","0","4","0","34","11","0","0","0","6","0","0","0","1","0","0","0","0","4","0","0","0","12","0","0","0","0"
"林內鄉","5","29","25","3","1","0","15","0","1","0","9","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"莿桐鄉","5","11","10","0","1","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"斗南鎮","8","18","18","0","0","0","9","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"古坑鄉","16","96","72","24","0","0","42","0","0","0","29","2","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","8","0","0","0","0"
"大埤鄉","6","12","12","0","0","0","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"虎尾鎮","18","68","64","0","4","0","31","0","2","0","17","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"土庫鎮","8","41","26","15","0","0","14","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"褒忠鄉","5","16","10","4","2","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"元長鄉","8","25","25","0","0","0","13","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"西螺鎮","8","34","34","0","0","0","20","0","1","0","13","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"二崙鄉","5","28","21","7","0","0","11","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"崙背鄉","1","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"北港鎮","13","53","42","9","2","0","20","0","0","0","12","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"水林鄉","6","22","22","0","0","0","13","0","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0"
"口湖鄉","19","77","72","5","0","0","41","0","0","0","30","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","7","0","0","0","0"
"臺西鄉","14","78","40","38","0","0","23","0","0","0","16","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"東勢鄉","2","13","4","4","5","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"四湖鄉","13","50","35","8","7","0","19","0","0","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"麥寮鄉","14","219","88","124","7","0","48","0","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","0"
